   framework QPS, LOAD, MEM(KB), TIME(ms); functions, include files
    symfony2      419,41.83,3884.72, 23.29;     432,36.78,3884.72, 26.83;     420,18.64,3884.72, 23.23;     424,32.42,3884.72, 24.45;   2524,   89
          zf      676,12.28,2576.47, 17.68;     680, 5.00,2576.47, 19.92;     680,12.21,2576.47, 20.12;     679, 9.83,2576.47, 19.24;   1789,   61
         zf2      323,79.40,4039.20, 30.78;     324,79.28,4039.20, 30.03;     325,78.90,4039.20, 30.58;     324,79.19,4039.20, 30.46;   5640,  124
     cakephp      883, 1.23,2824.26, 15.11;     883, 3.47,2824.26, 15.39;     882, 0.76,2824.26, 15.19;     883, 1.82,2824.26, 15.23;    834,   37
     fuelphp     1430, 4.78,1094.53, 12.52;    1430, 5.20,1094.53,  8.78;    1426, 4.96,1094.53, 12.72;    1428, 4.98,1094.53, 11.34;   1120,   27
          ci     2337, 0.63, 752.55,  7.20;    2326, 0.98, 752.55,  7.18;    2337, 0.64, 752.55,  7.31;    2333, 0.75, 752.55,  7.23;    491,   22
         yii     2353, 0.98,1180.15,  6.59;    2345, 0.55,1180.15,  6.53;    2361, 1.72,1180.15,  6.58;    2353, 1.08,1180.15,  6.57;    269,   19
        slim     2318, 1.73, 699.77,  7.24;    2321, 0.63, 699.77,  7.12;    2317, 0.85, 699.77,  7.11;    2318, 1.07, 699.77,  7.16;    521,   14
     laravel     3118, 2.89, 518.36,  4.35;    3114, 2.49, 518.36,  4.34;    3118, 2.90, 518.36,  4.40;    3116, 2.76, 518.36,  4.36;    238,   26
     colaphp     5918, 0.76, 257.55,  2.22;    5932, 0.35, 257.55,  2.18;    5923, 0.83, 257.55,  2.27;    5924, 0.65, 257.55,  2.22;    111,    9
   micromvc4     6510, 0.34, 176.73,  2.19;    6463, 0.11, 176.73,  2.18;    6506, 0.10, 176.73,  2.19;    6493, 0.18, 176.73,  2.19;    123,   12
         yaf     7266, 0.03,  67.89,  1.24;    7293, 0.18,  67.89,  1.23;    7275, 0.18,  67.89,  1.25;    7278, 0.13,  67.89,  1.24;     18,    4
