   framework QPS, LOAD, MEM(KB), TIME(ms); functions, include files
          ci     2251, 0.69,   0.00,  0.00;    2124,13.59,   0.00,  0.00;    2239,20.75,   0.00,  0.00;    2204,11.68,   0.00,  0.00;      0,    0
          zf      682, 7.93,   0.00,  0.00;     676, 6.48,   0.00,  0.00;     673, 9.63,   0.00,  0.00;     677, 8.01,   0.00,  0.00;      0,    0
         yaf     4782, 6.27,   0.00,  0.00;    5939,29.04,   0.00,  0.00;    4377,51.34,   0.00,  0.00;    5033,28.88,   0.00,  0.00;      0,    0
    symfony2      170,122.66,   0.00,  0.00;     166,127.88,   0.00,  0.00;     162,137.71,   0.00,  0.00;     166,129.42,   0.00,  0.00;      0,    0
        slim     2169,71.26,   0.00,  0.00;    2126,11.98,   0.00,  0.00;    2169,77.60,   0.00,  0.00;    2155,53.61,   0.00,  0.00;      0,    0
         yii     2263,40.40,   0.00,  0.00;    2280, 3.28,   0.00,  0.00;    2266,77.71,   0.00,  0.00;    2270,40.46,   0.00,  0.00;      0,    0
     cakephp      863,14.85,   0.00,  0.00;     864, 4.56,   0.00,  0.00;     863,25.83,   0.00,  0.00;     864,15.08,   0.00,  0.00;      0,    0
         zf2      312,125.30,   0.00,  0.00;     313,40.35,   0.00,  0.00;     311,123.34,   0.00,  0.00;     312,96.33,   0.00,  0.00;      0,    0
     laravel     2822,76.76,   0.00,  0.00;    2842, 4.17,   0.00,  0.00;    2976,16.67,   0.00,  0.00;    2880,32.53,   0.00,  0.00;      0,    0
   micromvc4     5764,55.34,   0.00,  0.00;    4549,21.17,   0.00,  0.00;    2928,34.31,   0.00,  0.00;    4414,36.94,   0.00,  0.00;      0,    0

