   framework QPS, LOAD, MEM(KB), TIME(ms); functions, include files
    symfony2     1322, 3.63,1711.57, 13.06;    1345, 1.35,1711.57, 12.55;    1332, 5.02,1711.57,  9.71;    1333, 3.33,1711.57, 11.77;    792,   15
          zf      671, 7.18,2576.47, 17.53;     666,14.24,2576.47, 18.31;     670, 1.72,2576.47, 17.37;     669, 7.71,2576.47, 17.74;   1789,   61
         zf2      324,123.89,4011.02, 30.19;     326,134.25,4011.02, 29.92;     326,85.21,4011.02, 31.60;     325,114.45,4011.02, 30.57;   5620,  124
     cakephp      850, 0.68,2824.26, 14.96;     860, 2.15,2824.26, 16.19;     862, 0.37,2824.26, 15.10;     857, 1.07,2824.26, 15.42;    834,   37
     fuelphp     1373, 3.43,1094.53, 12.61;    1374, 0.27,1094.53, 12.63;    1371, 0.97,1094.53, 12.62;    1373, 1.56,1094.53, 12.62;   1120,   27
          ci     2211, 0.68, 752.55,  7.27;    2215, 3.56, 752.55,  7.04;    2212, 3.02, 752.55,  7.33;    2213, 2.42, 752.55,  7.21;    491,   22
         yii     2304, 3.21,1180.15,  6.65;    2262, 0.51,1180.15,  6.68;    2238, 0.70,1180.15,  6.64;    2268, 1.47,1180.15,  6.66;    269,   19
        slim     2131, 3.83, 699.77,  7.17;    2128, 1.68, 699.77,  7.20;    2172, 2.49, 699.77,  7.23;    2144, 2.67, 699.77,  7.20;    521,   14
     laravel     3014, 1.52, 518.36,  4.42;    3018, 0.72, 518.36,  4.44;    2916, 0.46, 518.36,  4.44;    2983, 0.90, 518.36,  4.43;    238,   26
     colaphp     5099, 0.46, 257.55,  2.22;    5306, 0.39, 257.55,  2.26;    5336, 0.16, 257.55,  2.25;    5247, 0.34, 257.55,  2.24;    111,    9
   micromvc4     5283, 0.78, 176.73,  2.25;    5709, 0.18, 176.73,  2.22;    5440, 0.10, 176.73,  2.25;    5477, 0.35, 176.73,  2.24;    123,   12
         yaf     6220, 0.02,  67.89,  1.28;    6426, 0.09,  67.89,  1.27;    4952, 0.17,  67.89,  1.28;    5866, 0.09,  67.89,  1.28;     18,    4
